Province/Territoire,Employeur,Adresse,Profession sous CNP 2011,Postes demandés 
,Greidanus Farms Inc,"Granum, AB T0L 1A0",8431-Ouvriers agricoles,15
,GRH Transport Services Ltd.,"Calgary, AB T3N 0M5",7511-Conducteurs de camions de transport,2
,Gryphon Oilfield Solutions ULC,"Calgary, AB T2C 4Z1",125-Directeurs d'autres services aux entreprises,1
,Gurdit Bhullar Professional Corporation,"Calgary, AB T3J 3Z5",1243-Adjoints administratifs médicaux,1
,H & P Beauty Salon Ltd,"Calgary, AB T2B 0B8","651-Directeurs du service à la clientèle et des services personnels, n.c.a.",1
,H & W Produce (2006) Corporation o/a H & W Produce,"Edmonton, AB T5L 3P9",6211-Superviseurs des ventes - commerce de détail,1
,H.G. Contracting Inc.,"Leduc, AB T4X 0S5",1241-Adjoints administratifs,1
,Habibi Food Services Ltd.,"Calgary, AB T2H 0X9",6322-Cuisiniers,1
,Hachem Painting Ltd.,"Edmonton, AB T5C 2J8",7294-Peintres et décorateurs (sauf décorateurs d'intérieur),2
,Hagel Feeders Ltd.,"Swalwell, AB T0M 1Y0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",4
,Halcion Inc,"Edmonton, AB T6X 1S4",1311-Techniciens en comptabilité et teneurs de livres,1
,HALLMARK AUTO BODY LTD.,"CALGARY, AB T2G 0T5",2234-Estimateurs en construction,1
,Hamazakiya Inc.,"Calgary, AB T3A 2Y3",6321-Chefs,1
,Hanmac Restaurants 2055 Inc,"Edmonton, AB T5T 5L4",6311-Superviseurs des services alimentaires,1
,Harmony Beef Company Ltd,"Rocky View County, AB T4A 0T8","16-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
,Harmony Music School Ltd,"Calgary, AB T2M 3A1",5133-Musiciens et chanteurs,1
,Heartland Hotel Ltd.,"Lamont, AB T0B 2R0",6311-Superviseurs des services alimentaires,1
,Heritage Nurseries Ltd,"Sturgeon County, AB T8T 0J2",8432-Ouvriers de pépinières et de serres,3
,Hi Hotel Limited Partnership,"Calgary, AB T2R 0G8",1311-Techniciens en comptabilité et teneurs de livres,1
,High Point Management International Inc,"Edmonton, AB T6X 1M2",6315-Surveillants des services de nettoyage,1
,High River Bottle Depot Inc.,"High River, AB T1V 2A6",6211-Superviseurs des ventes - commerce de détail,1
,Highmark Crane Ltd.,"Edmonton, AB T6P 1M2",4211-Techniciens juridiques et personnel assimilé,1
,Hinton Chicken Foods Inc.,"Edmonton, AB T5S 2X4",6311-Superviseurs des services alimentaires,2
,HML Contracting Ltd,"Sturgeon County, AB T8T 0T8",7245-Monteurs de lignes et de câbles de télécommunications,1
,Home Style Donair & Subs Ltd,"Edmonton, AB T6L 5W9",6311-Superviseurs des services alimentaires,1
,Horsley & Sons Auto and Truck Repair Centre Ltd,"Calgary, AB T2X 2X7",6315-Surveillants des services de nettoyage,1
,Humpty's Restaurants International Inc,"Calgary, AB T2G 5J4",631-Directeurs de la restauration et des services alimentaires,1
,Hunterwood Technologies Ltd,"Cochrane, AB T4C 1B6",2232-Technologues et techniciens en génie mécanique,1
,HyTech Production Ltd,"Lethbridge, AB T1J 4K2",8431-Ouvriers agricoles,2
,I.N.D.N. Construction Ltd.,"Edmonton, AB T6M 0L8","6342-Tailleurs, couturiers, fourreurs et modistes",1
,I.S. Cargo Corporation,"Calgary, AB T3R 0G8",7511-Conducteurs de camions de transport,5
,Ic Global Inc.,"Calgary, AB T3A 0E2",6211-Superviseurs des ventes - commerce de détail,1
,IKRA Trader Inc o/a Pizza 786,"Edmonton, AB T6E 5P2",631-Directeurs de la restauration et des services alimentaires,1
,Il Mido Furnishings Ltd.,"Calgary, AB T3K 0B6",2241-Technologues et techniciens en génie électronique et électrique,2
,Ili's Painting Services Ltd.,"Calgary, AB T3S 0A6","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",1
,Imperial Drywall Contracting Ltd,"Edmonton, AB T5S 1J1",7452-Manutentionnaires,1
,Indian Flame & Pizza Restaurant Ltd,"Red Deer, AB T4R 3G8",6322-Cuisiniers,1
,Infinique & Natural Beauty Ltd.,"Edmonton, AB T5T 2C6",621-Directeurs - commerce de détail et de gros,2
,Ingraph Limited,"Calgary, AB T2E 6L7",2252-Designers industriels,1
,Integrated Management and Realty Ltd,"Edmonton, AB T5H 3K6",2283-Évaluateurs de systèmes informatiques,1
,International Hospital Maintenance Services Ltd,"Edmonton, AB T5T 1L6","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",1
,Irvings Farm Fresh Ltd,"Round Hill, AB T0B 3Z0",1241-Adjoints administratifs,1
,Italian Centre Shop Ltd.,"Edmonton, AB T5H 2E4",6611-Caissiers,1
,Italian Centre Shop West Ltd,"Edmonton, AB T5T 1L6",6421-Vendeurs - commerce de détail,1
,ITK Bakery & Catering Services Ltd,"Calgary, AB T3K 6L3",6332-Boulangers-pâtissiers,1
,Izah Corporation,"Edson, AB T7E 1V2",621-Directeurs - commerce de détail et de gros,1
,J &G Thind Ltd,"Cochrane, AB T4C 0A4",631-Directeurs de la restauration et des services alimentaires,1
,J and K Heating Ltd.,"Edmonton, AB T6X 1S2",7313-Mécaniciens en réfrigération et en climatisation,1
,J&N Inc,"Calgary, AB T2T 6E6",6311-Superviseurs des services alimentaires,1
,J&S Management Ltd,"Calgary, AB T1Y 4S3",6311-Superviseurs des services alimentaires,1
,Jai Maa Enterprises Ltd,"Edmonton, AB T6K 3L6",6611-Caissiers,1
,Jam Hospitality Inc.,"Calgary, AB T3J 4C8",213-Gestionnaires des systèmes informatiques,1
,Jas-Day Investments Ltd.,"Jasper, AB T0E 1E0",6322-Cuisiniers,1
,Jaswal & Minhas Holdings Ltd.,"Calgary, AB T3J 4K4",6211-Superviseurs des ventes - commerce de détail,1
,JB Courier Express Ltd.,"Calgary, AB T2E 7M3",7305-Surveillants du transport routier et du transport en commun,1
,JDM Connection Inc,"Spruce Grove, AB T7X 4L4",1221-Agents d'administration,1
,Jeff Doran Childcare,"Calgary, AB T2V 4M1",4411-Gardiens d'enfants en milieu familial,1
,Jehan Foods Inc,"Grande Prairie, AB T8V 3Y2","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",1
,Jeong Properties Holdings Ltd.,"Beaverlodge, AB T0H 0C0",6322-Cuisiniers,2
,Jet Uniform and Supply Ltd,"Red Deer, AB T4P 4E2","9217-Surveillants dans la transformation et la fabrication de produits textiles, de tissus, de fourrure et de cuir",1
,JLK Construction Ltd.,"Edmonton, AB T6W 0N2",7271-Charpentiers-menuisiers,1
,JNR Granite Import & Export Ltd,"Calgary, AB T1Y 7H6",6211-Superviseurs des ventes - commerce de détail,1
,Josun Enterprise Ltd.,"Calgary, AB T2W 4X9",6322-Cuisiniers,1
,Jox Taphouse and Sports Grill Ltd,"Edmonton, AB T5X 5V3",6322-Cuisiniers,2
,Joy Management Inc,"Calgary, AB T2J 5N8",6421-Vendeurs - commerce de détail,3
,Jugo 168 Ltd,"Calgary, AB T2H 0K8","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",1
,K.C Landscaping & Maintenance Ltd.,"Okotoks, AB T1S 1L3","8255-Entrepreneurs et superviseurs des services de l'aménagement paysager, de l'entretien des terrains et de l'horticulture",3
,Kaco Systems Inc,"Calgary, AB T2E 6P7",2281-Techniciens de réseau informatique,1
,Kamal El Halabi/Ruba Halabi o/a/Eurotech Hair Design,"Grand Cache, AB T0E 0Y0",6341-Coiffeurs et barbiers,1
,Kamal Raj 0005 Ltd,"Edmonton, AB T6R 3L6","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",1
,Kar Klean (2012) Ltd,"Edmonton, AB T5M 2Z4",6315-Surveillants des services de nettoyage,1
,Kathir Food Experience Inc,"Edmonton, AB T6L 6T4",6322-Cuisiniers,1
,KC EN JP Ltd,"Edmonton, AB T5K 0L5",6311-Superviseurs des services alimentaires,1
,Keith Smith Construction Ltd,"Edmonton, AB T6T 0M9",7271-Charpentiers-menuisiers,1
,Kelina A. Covarrubia Professional Corporation,"Fort McMurray, AB T9K 2P8",1243-Adjoints administratifs médicaux,1
,Kelwhit Enterprises Ltd,"Calgary, AB T2M 2T2",6311-Superviseurs des services alimentaires,2
,Key Support Services Inc.,"Edmonton, AB T5J 2N5",4212-Travailleurs des services sociaux et communautaires,1
,Kinjo Sushi & Grill District Ltd.,"Calgary, AB T3K 0Z7",6311-Superviseurs des services alimentaires,1
,KLAREN BACH AVIATION LTD,"Calgary, AB T3Z 3S7",7315-Mécaniciens et contrôleurs d'aéronefs,1
,Kosei International Ltd,"Edmonton, AB T6N 1L5",6322-Cuisiniers,1
,KPC Capital Investment Inc,"Clairmont, AB T0H 0W2",6315-Surveillants des services de nettoyage,1
,KT Albany Ltd,"Edmonton, AB T6V 1J6",6311-Superviseurs des services alimentaires,1
,Kyoto Japanese Cuisine Ltd.,"Edmonton, AB T6G 2L5",631-Directeurs de la restauration et des services alimentaires,1
,L4J4 Management Inc,"Edmonton, AB T5H 0E5",6322-Cuisiniers,1
,La Bezt Donair & Pizza,"Spruce Grove, AB T7Z 4K5",6322-Cuisiniers,1
,La Boheme Bakery Ltd.,"Edmonton, AB T5K 1V6",6332-Boulangers-pâtissiers,1
,Lac La Biche Transport Ltd.,"Lac La Biche, AB T0A 2C0",6732-Nettoyeurs spécialisés,1
,Lail Transport Ltd,"Calgary, AB T3N 0K4",7511-Conducteurs de camions de transport,1
,LandOcean Energy Canada Ltd.,"Calgary, AB T2P 4H4","13-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
,Le Kai Enterprises Ltd,"Viking, AB T0B 4N0",6321-Chefs,1
,Leta Landscape Contractors Ltd.,"Edmonton, AB T5L 4B2",2225-Techniciens et spécialistes de l'aménagement paysager et de l'horticulture,1
,Lethbridge Liquor Ltd,"Lethbridge, AB T1J 2B8",6211-Superviseurs des ventes - commerce de détail,1
,Lett Caregiver Company,"Sexsmith, AB T0H 3C0","4412-Aides familiaux résidents, aides de maintien à domicile et personnel assimilé",1
,Lifestyles West Inc.,"Calgary, AB T3E 6B1",6211-Superviseurs des ventes - commerce de détail,1
,Linis Sales Incorporated,"Calgary, AB T3R 0A1",6211-Superviseurs des ventes - commerce de détail,5
,Live Out There Inc.,"Calgary, AB T1Y 7J7",601-Directeurs des ventes corporatives,1
,Long Tube Co Ltd,"Sedgewick, AB T0B 4C0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
,Lucilee Holdings Ltd.,"Banff, AB T1L 1B5",7445-Autres réparateurs et préposés à l'entretien,1
,Luigus Carpentry Inc,"Calgary, AB T2E 7J2",7271-Charpentiers-menuisiers,2
,Lumberjacks Restaurant Ltd.,"Edmonton, AB T6E 5X6",6513-Serveurs d'aliments et de boissons,1
,Luxmux Technology Corporation,"Calgary, AB T3E 7M8",2241-Technologues et techniciens en génie électronique et électrique,1
,Lynx Brand Fence Products Alta. Ltd,"Calgary, AB T2C 2J2","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,M.G. Elite Cleaning Services Ltd.,"St. Albert, AB T8N 7J1",6315-Surveillants des services de nettoyage,2
,Madsen's Custom Cabinets (1983) Ltd.,"Edmonton, AB T5L 2Y3",7272-Ébénistes,2
,Malcanix Repair Services Ltd.,"Edmonton, AB T5A 4N3",7312-Mécaniciens d'équipement lourd,1
,Maligaya Travel Ltd.,"Edmonton, AB T5K 0L5","6313-Superviseurs des services d'hébergement, de voyages, de tourisme et des services connexes",1
,Mani-Krupa 786 Ltd. o/a Waterton Glacier Suites,"Waterton Park, AB T0K 2M0",6731-Préposés à l'entretien ménager et au nettoyage - travaux légers,1
,Mansha Management Inc,"Calgary, AB T3G 3L1",6211-Superviseurs des ventes - commerce de détail,2
,Maple Home Enterprises Inc,"Edmonton, AB T5T 6T2",7271-Charpentiers-menuisiers,2
,Marc Lallier Apiaries Inc,"Sangudo, AB T0E 2A0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
,Marcan Construction Ltd.,"Calgary, AB T3K 0P8","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",3
,Marcel Bondea & Associates Ltd,"Calgary, AB T2P 3R7",6322-Cuisiniers,3
,Marcor Woodwork Ltd.,"Calgary, AB T2C 0A9",7272-Ébénistes,1
,Mark and Kellog Enterprises Ltd,"Edmonton, AB T6E 6N1",6311-Superviseurs des services alimentaires,2
,MASALA BHAVAN LTD.,"Calgary, AB T3E 3C9",6322-Cuisiniers,2
,Massage Heights of Canada (MHC) Ltd.,"Calgary, AB T2H 1K3",3236-Massothérapeutes,6
,Mattartist Creation Studio Inc.,"Bon Accord, AB T0A 0K0","5136-Peintres, sculpteurs et autres artistes des arts visuels",1
,Max Fuel Distributors Ltd.,"Slave Lake, AB T0G 2A0",1311-Techniciens en comptabilité et teneurs de livres,1
,Maya & Son Sales Ltd,"Medicine Hat, AB T1B 3M6",631-Directeurs de la restauration et des services alimentaires,1
,Mcme Foods Ltd,"Lethbridge, AB T1K 8C9",6311-Superviseurs des services alimentaires,2
,MD Group Inc,"Edmonton, AB T5N 1R9",3112-Omnipraticiens et médecins en médecine familiale,1
,Melissa's Missteak 2010 Ltd.,"Banff, AB T1L 1A9",6322-Cuisiniers,4
,Mendita Management & Holdings Ltd.,"Edmonton, AB T5T 5T3","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",3
,MER Chicken Foods Inc. dba KFC - Merritt,"Edmonton, AB T5S 2X4",6311-Superviseurs des services alimentaires,4
,Metro Cell Inc,"Edmonton, AB T5T 4J2",6421-Vendeurs - commerce de détail,2
,Metropolitan Calgary Foundation,"Calgary, AB T2H 2K6",6311-Superviseurs des services alimentaires,1
,Michels Canada Co.,"Nisku, AB T9E 0A9",711-Directeurs de la construction,1
,Mighty Clean Ducts Ltd.,"Edmonton, AB T5V 1V2",6315-Surveillants des services de nettoyage,1
,Millwoods Meat Shop Ltd.,"Edmonton, AB T6L 5H1",6211-Superviseurs des ventes - commerce de détail,2
,Milos Grill Ltd,"Hinton, AB T7V 1Z8",6322-Cuisiniers,1
,Mio Stone Grill and Sushi Ltd,"Airdrie, AB T4A 0B1",631-Directeurs de la restauration et des services alimentaires,1
,Mitada Truck Services Ltd.,"Edmonton, AB T6B 2V8","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,MJV Construction Ltd,"Edmonton, AB T6M 2R6",711-Directeurs de la construction,1
,ML LED Lighting Co. Ltd.,"Calgary, AB T2E 2S7",621-Directeurs - commerce de détail et de gros,1
,Mojo's Pub & Grill Ltd,"Lethbridge, AB T1J 4T3",6322-Cuisiniers,2
,MoldPro Inc,"Calgary, AB T2V 0Y7",1221-Agents d'administration,1
,Moli Industries Ltd,"Calgary, AB T2E 0A6","7201-Entrepreneurs et contremaîtres des machinistes et du personnel des métiers du formage, du profilage et du montage des métaux et personnel assimilé",1
,Monsanto Canada Inc,"Lethbridge, AB T1J 4P4",8431-Ouvriers agricoles,12
,More4You Inc.,"Strathmore, AB T1P 1K5","4412-Aides familiaux résidents, aides de maintien à domicile et personnel assimilé",2
,Morwest Crane & Services Ltd,"Calgary, AB T2H 1K1",7312-Mécaniciens d'équipement lourd,5
,Motortech Services Ltd,"Grande Prairie, AB T8V 6V7","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,Mountain Furniture Co.Ltd.,"Calgary, AB T2E 6R7",7272-Ébénistes,1
,Mountain Mercato Ltd.,"Canmore, AB T1W 2B3","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",1
,Mountain View Hospitality,"Kananaskis, AB T0L 2H0",6322-Cuisiniers,1
,Mountain View Restaurant Inc,"Hinton, AB T7V 1S8",6311-Superviseurs des services alimentaires,1
,Mr. Pesen's Food Services Ltd.,"Cold Lake, AB T9M 1C8",6322-Cuisiniers,2
,Mt. Fuji Teppan-yaki Ltd,"Edmonton, AB T5Z 3S3","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",2
,Mujosa Ventures Ltd.,"Calgary, AB T2V 1V4",4214-Éducateurs et aides-éducateurs de la petite enfance,3
,Mundt's Foundations & Operations Inc,"Oyen, AB T0J 2J0",8431-Ouvriers agricoles,1
,Murphy Group Canada Ltd,"Calgary, AB T2P 0T5",811-Directeurs de l'exploitation des ressources naturelles et de la pêche,1
,N & G Woodworking Inc.,"Calgary, AB T2G 2A7",7271-Charpentiers-menuisiers,1
,N & R Health & Spa Holdings Ltd.,"Sherwood Park, AB T8A 5W9","6562-Esthéticiens, électrolystes et personnel assimilé",1
,Naiad Irrigation Systems Ltd.,"Rocky View, AB T1X 0K3",2225-Techniciens et spécialistes de l'aménagement paysager et de l'horticulture,3
,Naicker Enterprises Inc,"Cochrane, AB T4C 2C3",6315-Surveillants des services de nettoyage,1
,Nakata Enterprise Ltd,"Calgary, AB T2T 1Z5",6322-Cuisiniers,1
,Namah Fresh Food Ideas Inc,"Pincher Creek, AB T0K 1W0","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",2
,Nanton Water & Soda Ltd.,"Nanton, AB T0L 1R0","9617-Manoeuvres dans la transformation des aliments, des boissons et des produits connexes",1
,Narayan Enterprises Ltd,"Strathmore, AB T1P 0A8","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",1
,Nassa Excavating Ltd.,"Calgary, AB T1Y 2W8",7521-Conducteurs d'équipement lourd (sauf les grues),1
,National Carriers Alberta Ltd.,"Calgary, AB T3J 3C8",7511-Conducteurs de camions de transport,2
,Net Edge Inc.,"Calgary, AB T3C 0K2","1123-Professionnels en publicité, en marketing et en relations publiques",1
,New Era Group of Homes Ltd.,"Edmonton, AB T6X 1J4",7295-Poseurs de revêtements d'intérieur,4
,Newrest Calgary Corporation,"Calgary, AB T2E 8Z9",6311-Superviseurs des services alimentaires,1
,Nipisi Electric Ltd,"Slave Lake, AB T0G 2A0",7611-Aides de soutien des métiers et manoeuvres en construction,1
,Nirvana Nails and Spa Inc,"Okotoks, AB T1S 0B2","651-Directeurs du service à la clientèle et des services personnels, n.c.a.",2
,NMAP Inc,"St Albert, AB T8N 1T3",7291-Couvreurs et poseurs de bardeaux,1
,Noodle Xtreme Ltd,"Edmonton, AB T6K 4C8",6322-Cuisiniers,1
,Noori (SH) Ventures Inc.,"Calgary, AB T2W 5V3",6311-Superviseurs des services alimentaires,1
,Noralta Motor Inn Inc.,"Rainbow Lake, AB T0H 2Y0",6731-Préposés à l'entretien ménager et au nettoyage - travaux légers,2
,Noremac Industries Ltd,"Edmonton, AB T6B 3M3",6732-Nettoyeurs spécialisés,3
,North Central Livestock Exchange Inc.,"Clyde, AB T0G 0P0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
,Northland Cheesecake Company Inc,"Calgary, AB T2L 2J7",6332-Boulangers-pâtissiers,1
,Northplex Ltd,"Barrhead, AB T7N 1A4",9533-Monteurs et contrôleurs d'autres produits en bois,10
,Northx Logistics Ltd,"Calgary, AB T3Z 0A5",731-Directeurs des transports,1
,Nova Developments Corp.,"Edmonton, AB T5L 3C2",7271-Charpentiers-menuisiers,2
,Novia Mia Bridal and Evening Wear Ltd,"Calgary, AB T2G 1H5","5243-Ensembliers de théâtre, dessinateurs de mode, concepteurs d'expositions et autres concepteurs artistiques",1
,Nu-Mun Contracting Ltd.,"Calgary, AB T2G 4V3",7251-Plombiers,1
,Nu-Way Floor Fashion Ltd,"Calgary, AB T2G 2B2",7295-Poseurs de revêtements d'intérieur,1
,O . BABALOLA PRFESSIONAL CORPORATION,"Hanna, AB T0J 1P0",3411-Assistants dentaires,1
,Olympia Liquor Holdings Ltd,"Calgary, AB T2H 0C6",621-Directeurs - commerce de détail et de gros,2
,Olympia Liquor Store Inc,"Calgary, AB T2X 1Z5",621-Directeurs - commerce de détail et de gros,1
,Option Industries Inc,"Drayton Valley, AB T7A 1S1",7312-Mécaniciens d'équipement lourd,1
