"Employers who were Issued a Positive Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and Business Location in 2020 (October-December)",b,c,d,e,f
Ontario,  Primary Agriculture,Lakelee Orchards Ltd.,"Jordan Station, ON L0R 1S0",8431-General farm workers,44
Ontario,  Primary Agriculture,Lakeside Packing Company Ltd.,"Harrow, ON N0R 1G0",8431-General farm workers,3
Ontario,  Primary Agriculture,Lament Farms Inc.,"Niagara on the lake, ON L0S 1J0",8431-General farm workers,3
Ontario,  Primary Agriculture,Langendoen Nurseries Inc.,"Niagara on the lake, ON L0S 1J0",8432-Nursery and greenhouse workers,24
Ontario,  Primary Agriculture,LDM Farms Inc.,"Kingsville, ON N9Y 2N5",8432-Nursery and greenhouse workers,6
Ontario,  Primary Agriculture,Lebo Farms Ltd,"Leamington, ON N8H 3V8",8432-Nursery and greenhouse workers,22
Ontario,  Primary Agriculture,Lennox Farm (1988) Ltd.,"Melancthon, ON L9V 1V9",8431-General farm workers,11
Ontario,  Primary Agriculture,Léon Delorme Ltd,"Curran, ON K0B 1C0",8431-General farm workers,10
Ontario,  Primary Agriculture,Lighthall Vineyards Inc.,"Milford, ON K0K 2P0",8431-General farm workers,8
Ontario,  Primary Agriculture,Lindy's Flowers Inc,"DUNNVILLE, ON N1A 2W7",8432-Nursery and greenhouse workers,5
Ontario,  Primary Agriculture,LJA FARMS INC.,"Kingsville, ON N9Y 2E5",8431-General farm workers,2
Ontario,  Primary Agriculture,Lohmann Breeders Canada LTD,"Brantford, ON N3S 7W4","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Ontario,  Primary Agriculture,Loranlee Farms Ltd.,"Earlton, ON P0J 1E0",8431-General farm workers,1
Ontario,  Primary Agriculture,Lundy Potato Farms LTD.,"Alliston, ON L9R 1V8",8431-General farm workers,8
Ontario,  Primary Agriculture,LuyksFarms Inc.,"Port Stanley, ON N5L 1J1","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",5
Ontario,  Primary Agriculture,LuyksFarms Inc.,"Port Stanley, ON N5L 1J1",8431-General farm workers,2
Ontario,  Primary Agriculture,M & J Chromczak Farms Inc.,"BROWNSVILLE, ON N0L 1C0",8431-General farm workers,28
Ontario,  Primary Agriculture,M Putzer Hornby Nursery Ltd,"Milton, ON L9E 0Y1",8432-Nursery and greenhouse workers,11
Ontario,  Primary Agriculture,M&J McElhone Farming Inc,"La Salette, ON N0E 1H0",8431-General farm workers,22
Ontario,  Primary Agriculture,M.O.S. ENTERPRISES LTD,"Ruthven, ON N0P 2G0",8431-General farm workers,40
Ontario,  Primary Agriculture,Mae-Mart Farms Ltd.,"Waterford, ON N0E 1Y0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",3
Ontario,  Primary Agriculture,Magalas Farms Ltd,"Waterford, ON N0E 1Y0",8431-General farm workers,4
Ontario,  Primary Agriculture,Magalas Produce LTD,"Waterford, ON N0E 1Y0",8431-General farm workers,2
Ontario,  Primary Agriculture,MAILE SPIRITS CROP,"THORNHILL, ON L4J 1H3",8431-General farm workers,2
Ontario,  Primary Agriculture,MALECKI FARMS LTD,"BRANTFORD, ON N3T 5L5",8431-General farm workers,4
Ontario,  Primary Agriculture,Manderley Turf Products Inc.,"Ottawa, ON K2E 7S6","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",5
Ontario,  Primary Agriculture,Manderley Turf Products Inc.,"Ottawa, ON K2E 7S6",8431-General farm workers,22
Ontario,  Primary Agriculture,Mar-John's Nursery Ltd.,"Waterloo, ON N2J 4G8",8432-Nursery and greenhouse workers,1
Ontario,  Primary Agriculture,Mark A Valley Farms Ltd.,"Arthur, ON N0G 1A0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Ontario,  Primary Agriculture,Marshland Gardens Ltd,"Bradford, ON L3Z 2A6",8431-General farm workers,5
Ontario,  Primary Agriculture,Marvellane Farms Ltd.,"Russell, ON K4R 0J7",8431-General farm workers,1
Ontario,  Primary Agriculture,Mastron Enterprises Ltd.,"Kingsville, ON N9Y 2E5",8432-Nursery and greenhouse workers,4
Ontario,  Primary Agriculture,Mastronardi Estate Vineyards Inc.,"Kingsville, ON N9Y 2E4",8431-General farm workers,2
Ontario,  Primary Agriculture,McLean Berry Farm Limited,"Lakefield, ON K0L 2H0",8431-General farm workers,14
Ontario,  Primary Agriculture,Meyers Fruit Farms Ltd,"Niagara on the lake, ON L0S 1J0",8432-Nursery and greenhouse workers,60
Ontario,  Primary Agriculture,Mid valley Growers Inc.,"Leamington, ON N8H 4H5",8432-Nursery and greenhouse workers,14
Ontario,  Primary Agriculture,Mike Maertens Farms LTD,"Harley, ON N0E 1E0",8431-General farm workers,2
Ontario,  Primary Agriculture,Miles Produce Ltd.,"Waterford, ON N0E 1Y0",8431-General farm workers,18
Ontario,  Primary Agriculture,Millbank Fur Farm Limited,"Rockwood, ON N0B 2K0",8431-General farm workers,2
Ontario,  Primary Agriculture,Monaghan Mushrooms Ltd.,"Campbellville, ON L0P 1B0",8611-Harvesting labourers,141
Ontario,  Primary Agriculture,MOR GRO FARMS INC.,"Kingsville N9Y 2E5, ON N9Y 2E5",8432-Nursery and greenhouse workers,1
Ontario,  Primary Agriculture,Moretto Ingratta Farms Inc.,"Leamington, ON N8H 3V5",8432-Nursery and greenhouse workers,26
Ontario,  Primary Agriculture,N Sawatzky Farms Inc,"Wheatley, ON N0P 2P0",8432-Nursery and greenhouse workers,15
Ontario,  Primary Agriculture,National Bait Inc.,"Mississauga, ON L5E 1E4",8611-Harvesting labourers,55
Ontario,  Primary Agriculture,Nature Farms Inc.,"Burgessville, ON N0J 1C0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Ontario,  Primary Agriculture,Nature Fresh Farms Inc.,"Leamington, ON N8H 3V8",8432-Nursery and greenhouse workers,29
Ontario,  Primary Agriculture,Nature's Finest Produce Ltd,"Pain Court, ON N0P 1Z0",8431-General farm workers,14
Ontario,  Primary Agriculture,Neil Vander Kruk Holdings Inc,"Dundas, ON L9H 5E2",8432-Nursery and greenhouse workers,10
Ontario,  Primary Agriculture,Netherend Acres Inc.,"Thamesford, ON N0M 2M0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Ontario,  Primary Agriculture,New Castle Farm LTD.,"Leamington, ON N8H 3V5",8432-Nursery and greenhouse workers,53
Ontario,  Primary Agriculture,Newbrabant Farms Ltd.,"Lancaster, ON K0C 1N0",8431-General farm workers,2
Ontario,  Primary Agriculture,Niagara Vintage Harvesters Limited,"Virgil, ON L0S 1T0",8431-General farm workers,2
Ontario,  Primary Agriculture,NIGHTINGALE FARMS LIMITED,"LaSalette, ON N0E 1H0",8431-General farm workers,20
Ontario,  Primary Agriculture,NINE MILE FARMS INC,"CRYSLER, ON K0A 1R0",8431-General farm workers,2
Ontario,  Primary Agriculture,Nokara Limited,"St Catharines, ON L2R 6P9",8431-General farm workers,5
Ontario,  Primary Agriculture,North Forty Farms Inc.,"Bradford, ON L3Z 2B1",8432-Nursery and greenhouse workers,2
Ontario,  Primary Agriculture,Northland Ginseng farms Inc.,"WINDHAM CENTRE, ON N0E 2A0",8431-General farm workers,12
Ontario,  Primary Agriculture,O. Van Den Heede Limited,"Delhi, ON N4B 2W5",8431-General farm workers,4
Ontario,  Primary Agriculture,Oasis Greenhouses Limited,"Chatham, ON N7M 5J8",8432-Nursery and greenhouse workers,5
Ontario,  Primary Agriculture,Ontario Pickle Corporation,"CHATHAM, ON N7M 5J7",8431-General farm workers,35
Ontario,  Primary Agriculture,Ontario Potato Dist. (Alliston) Inc. 1991,"Alliston, ON L9R 1W1",8431-General farm workers,4
Ontario,  Primary Agriculture,Orangeline Farms Limited,"Leamington, ON N8H 3V8",8432-Nursery and greenhouse workers,26
Ontario,  Primary Agriculture,Orchard Park Growers Ltd.,"St. Catharines, ON L2R 6P9",8432-Nursery and greenhouse workers,22
Ontario,  Primary Agriculture,Ordonez Group Inc.,"Leamimgton, ON N8H 3B7",8431-General farm workers,2
Ontario,  Primary Agriculture,Oxford Cattle Company Ltd.,"Woodstock, ON N4S 7V8",8431-General farm workers,3
Ontario,  Primary Agriculture,P&S VanBerlo Limited,"Simcoe, ON N3Y 4K3",8431-General farm workers,4
Ontario,  Primary Agriculture,P.G. Enns Farms Ltd,"Niagara on the lake, ON L0S 1J0",8431-General farm workers,42
Ontario,  Primary Agriculture,Parks Blueberries Ltd.,"Bothwell, ON N0P 1C0",8431-General farm workers,8
Ontario,  Primary Agriculture,Peeters Mushrooms Inc.,"Blenheim, ON N0P 1A0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,Peeters Mushrooms Inc.,"Blenheim, ON N0P 1A0",8611-Harvesting labourers,12
Ontario,  Primary Agriculture,PeleeView Farms Inc,"Leamington, ON N8H 3V7",8432-Nursery and greenhouse workers,10
Ontario,  Primary Agriculture,Peppertree Greenhouses Ltd.,"Tupperville, ON N0P 2M0",8432-Nursery and greenhouse workers,5
Ontario,  Primary Agriculture,PERFECT PICK FARMS LTD.,"London, ON N6G 0K4",8432-Nursery and greenhouse workers,40
Ontario,  Primary Agriculture,Peter Jennen Farms Inc,"Thamesville, ON N0P 2K0",8431-General farm workers,10
Ontario,  Primary Agriculture,Peter Welsh Farming Inc. / Wayne Welsh Farms Inc.,"Scotland, ON N0E 1R0",8431-General farm workers,33
Ontario,  Primary Agriculture,Petervale Farms Limited,"Grand Valley, ON L9W 3W1","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",4
Ontario,  Primary Agriculture,Pillitteri Estates Winery Inc.,"Niagara on the lake, ON L0S 1J0",8431-General farm workers,8
Ontario,  Primary Agriculture,Pineview Orchards Inc.,"Jordan Station, ON L0R 1S0",8431-General farm workers,9
Ontario,  Primary Agriculture,Pleasant Creek Farms Ltd.,"Mount Pleasant, ON N0E 1K0",8431-General farm workers,6
Ontario,  Primary Agriculture,Porkway Farms Ltd,"Monkton, ON N0K 1P0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",6
Ontario,  Primary Agriculture,Poyntz Inc,"Sutton West, ON L0E 1R0",8431-General farm workers,1
Ontario,  Primary Agriculture,Prins Grow Inc,"Jordan Station, ON L0R 1S0",8432-Nursery and greenhouse workers,7
Ontario,  Primary Agriculture,Prism Farms Ltd,"Leamington, ON N8H 3V8",8432-Nursery and greenhouse workers,23
Ontario,  Primary Agriculture,Procyk Farms (1994) Ltd,"WILSONVILLE, ON N0E 1Z0",8431-General farm workers,489
Ontario,  Primary Agriculture,ProGrower Farms Ltd,"Kettleby, ON L7B 0G6",8431-General farm workers,6
Ontario,  Primary Agriculture,Protolight Farms Inc.,"Leamington, ON N8H 3V8",8432-Nursery and greenhouse workers,15
Ontario,  Primary Agriculture,Proveg Kent Inc.,"Tupperville, ON N0P 2M0",8431-General farm workers,16
Ontario,  Primary Agriculture,Quality Farms Ltd.,"Vaughan, ON L4L 1A5",8431-General farm workers,1
Ontario,  Primary Agriculture,QUEENSTON TENDER FRUIT LTD,"Niagara on the lake, ON L0S 1J0",8431-General farm workers,9
Ontario,  Primary Agriculture,R&G Magda Holdings Inc.,"Princeton, ON N0J 1V0",8431-General farm workers,13
Ontario,  Primary Agriculture,R&R Farming Limited,"Harley, ON N0J 1P0",8431-General farm workers,7
Ontario,  Primary Agriculture,R. N. Capital Management Ltd.,"caledon east, ON L7C 2R7",8431-General farm workers,1
Ontario,  Primary Agriculture,Rail Side Flowers Ltd.,"Strathroy, ON N7G 3J9",8432-Nursery and greenhouse workers,1
Ontario,  Primary Agriculture,RAL Farms Ltd,"Norwich, ON N0J 1P0",8431-General farm workers,6
Ontario,  Primary Agriculture,Randy Van Den Heede Farms Inc.,"WINDHAM CENTRE, ON N0E 2A0",8431-General farm workers,8
Ontario,  Primary Agriculture,Reed Verhoeve Farms Inc,"Simcoe, ON N3Y 4K6",8431-General farm workers,7
Ontario,  Primary Agriculture,Rejuvenating Spring Inc.,"Burlington, ON L7M 0T7",8431-General farm workers,5
Ontario,  Primary Agriculture,Ricciardelli Orchards Ltd,"Niagara on the lake, ON L0S 1J0",8431-General farm workers,17
Ontario,  Primary Agriculture,Riga Farms Ltd.,"Bradford, ON L3Z 3B6",8431-General farm workers,29
Ontario,  Primary Agriculture,Riverbend Farms Inc.,"Niagara on the lake, ON L0S 1J0",8431-General farm workers,3
Ontario,  Primary Agriculture,Riverview Cellars Incorporated,"Niagara-On-The-Lake, ON L0S 1J0",8431-General farm workers,2
Ontario,  Primary Agriculture,Rocky Top Farming Ltd.,"Waterford, ON N0E 1Y0",8431-General farm workers,2
Ontario,  Primary Agriculture,Roelands Plant Farms Inc.,"Lambton Shores, ON N0N 1J5","8255-Contractors and supervisors, landscaping, grounds maintenance and horticulture services",1
Ontario,  Primary Agriculture,Roelands Plant Farms Inc.,"Lambton Shores, ON N0N 1J5",8432-Nursery and greenhouse workers,15
Ontario,  Primary Agriculture,Rol-land Farms and Greenhouses Inc.,"Blenheim, ON N0P 1A0",8432-Nursery and greenhouse workers,14
Ontario,  Primary Agriculture,Rom-Ark Pork Ltd,"Brussels, ON N0G 1H0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Ontario,  Primary Agriculture,Ronald Moyer Limited,"Grimsby, ON L3M 4E7",8431-General farm workers,16
Ontario,  Primary Agriculture,Rondyke Farms Ltd.,"Blenheim, ON N0P 1A0",8431-General farm workers,4
Ontario,  Primary Agriculture,Rosa Flora Growers Ltd,"Dunnville, ON N1A 2W2",8432-Nursery and greenhouse workers,93
Ontario,  Primary Agriculture,Royalview Orchards Limited,"Niagara-On-The-Lake, ON L0S 1J0",8431-General farm workers,29
Ontario,  Primary Agriculture,RPS Hawk Inc.,"Elmira, ON N3B 2Z3",8431-General farm workers,8
Ontario,  Primary Agriculture,Ruthven Farms Inc.,"Ruthven, ON N0P 2G0",8432-Nursery and greenhouse workers,12
Ontario,  Primary Agriculture,RVD Farms Limited,"Inwood, ON N0N 1K0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Ontario,  Primary Agriculture,Ryder Farms Inc.,"Delhi, ON N4B 2W4",8431-General farm workers,53
Ontario,  Primary Agriculture,S&I Agricultural Commodities Limited,"R. R. # 2, Simcoe, ON N3Y 4K1",8431-General farm workers,31
Ontario,  Primary Agriculture,Sandy Flats Estate Inc.,"LaSalette, ON N0E 1H0",8431-General farm workers,7
Ontario,  Primary Agriculture,Sandy Shore Farms Limited,"Port Burwell, ON N0J 1T0",8431-General farm workers,128
Ontario,  Primary Agriculture,Scarlett Acres Limited,"colborne, ON K0K 1S0",8431-General farm workers,80
Ontario,  Primary Agriculture,Scharringa Greenhouses Ltd.,"Waterdown, ON L0R 2H2",8432-Nursery and greenhouse workers,16
Ontario,  Primary Agriculture,Schenck Farms & Greenhouses Co Ltd,"St. Catharines, ON L2R 6P9",8432-Nursery and greenhouse workers,46
Ontario,  Primary Agriculture,SCHONBERGER FAMILY FARMS LIMITED,"Langton, ON N0E 1G0",8431-General farm workers,39
Ontario,  Primary Agriculture,Schooley Orchards Limited,"WINDHAM CENTRE, ON N0E 2A0",8431-General farm workers,11
Ontario,  Primary Agriculture,Schuele Vineyards Inc.,"Beamsville, ON L0R 1B1",8431-General farm workers,5
Ontario,  Primary Agriculture,Schuyler Farms Limited,"Simcoe, ON N3Y 4K3",8431-General farm workers,165
Ontario,  Primary Agriculture,Scott Street Greenhouses Ltd.,"St. Davids, ON L0S 1P0",8431-General farm workers,4
Ontario,  Primary Agriculture,Scott Street Greenhouses Ltd.,"St. Davids, ON L0S 1P0",8432-Nursery and greenhouse workers,13
Ontario,  Primary Agriculture,Sedum Master Inc.,"Princeton, ON N0J 1V0",8431-General farm workers,11
Ontario,  Primary Agriculture,Seeger Farms Limited,"Niagara-On-The-Lake, ON L0S 1J0",8431-General farm workers,12
Ontario,  Primary Agriculture,Serkka Farms Inc,"Wallaceburg, ON N8A 4L1",8431-General farm workers,44
Ontario,  Primary Agriculture,Shabatura Farms Ltd.,"WINDHAM CENTRE, ON N0E 2A0",8431-General farm workers,99
Ontario,  Primary Agriculture,Shang-Hi Farming Limited,"Harley, ON N0E 1E0",8431-General farm workers,6
Ontario,  Primary Agriculture,SHawson Gardens Inc,"Scotland, ON N0E 1R0",8431-General farm workers,12
Ontario,  Primary Agriculture,Sheridan Nurseries Limited,"Georgetown, ON L7G 4S7",8432-Nursery and greenhouse workers,102
Ontario,  Primary Agriculture,Simoni Farms LTD,"Leamington, ON N8H 4C7",8432-Nursery and greenhouse workers,19
Ontario,  Primary Agriculture,Skubel Family Farms INC,"Niagara on the lake, ON L0S 1J0",8431-General farm workers,5
Ontario,  Primary Agriculture,Sluys Holsteins Inc.,"Clinton, ON N0M 1L0",8431-General farm workers,3
Ontario,  Primary Agriculture,Smith Gardens Inc.,"Queensville, ON L0G 1R0",8431-General farm workers,17
Ontario,  Primary Agriculture,Somerville Nurseries Inc.,"Everett, ON L0M 1J0",8432-Nursery and greenhouse workers,5
Ontario,  Primary Agriculture,Son in Law Produce LTD.,"Otterville, ON N0J 1R0",8431-General farm workers,3
Ontario,  Primary Agriculture,South Mount Farms Ltd.,"BRANTFORD, ON N3T 5L5",8431-General farm workers,4
Ontario,  Primary Agriculture,Southbrook Farms Ltd,"Niagara-On-The-Lake, ON L0S 1J0",8431-General farm workers,5
Ontario,  Primary Agriculture,Southcoast Farming Inc,"R. R. #2  Simcoe, ON N3Y 4K1",8431-General farm workers,15
Ontario,  Primary Agriculture,Southshore Greenhouses Inc.,"KINGSVILLE, ON N9Y 2M6",8432-Nursery and greenhouse workers,34
Ontario,  Primary Agriculture,SouthWest Tobacco Ltd,"Langton, ON N0E 1G0",8431-General farm workers,10
Ontario,  Primary Agriculture,Special T Swine Ltd,"Brussels, ON N0G 1H0",8431-General farm workers,5
Ontario,  Primary Agriculture,Spriet Ventures Ltd.,"Burford, ON N0E 1A0",8431-General farm workers,9
Ontario,  Primary Agriculture,Spring Valley Gardens (Niagara) Inc.,"St. Catharines, ON L2R 6P9",8432-Nursery and greenhouse workers,92
Ontario,  Primary Agriculture,Springridge Farm Inc.,"Milton, ON L9T 2Y1",8431-General farm workers,4
Ontario,  Primary Agriculture,St. David's Hydroponics Ltd,"Niagara-On-The-Lake, ON L0S 1J0",8432-Nursery and greenhouse workers,83
Ontario,  Primary Agriculture,Stam Nurseries (2009) Inc.,"Burgessville, ON N0J 1C0",8432-Nursery and greenhouse workers,4
Ontario,  Primary Agriculture,Stan Gillier Farms LTD,"Chatham, ON N7M 5J4",8431-General farm workers,4
Ontario,  Primary Agriculture,Stanton Bros Ltd,"Ilderton, ON N0M 2A0",8431-General farm workers,3
Ontario,  Primary Agriculture,Steyn Enterprises Inc.,"Bradford, ON L3Z 2B6",8432-Nursery and greenhouse workers,3
Ontario,  Primary Agriculture,Strawberry Tyme farms Inc,"Simcoe, ON N3Y 4K1",8431-General farm workers,80
Ontario,  Primary Agriculture,Streef Produce Ltd.,"Princeton, ON N0J 1V0",8431-General farm workers,30
Ontario,  Primary Agriculture,Sugar Apple Orchards Ltd,"Kingsville, ON N9Y 2E4",8431-General farm workers,12
Ontario,  Primary Agriculture,Sun Circle Greenhouses Inc.,"Kingsville, ON N9Y 2E4",8432-Nursery and greenhouse workers,1
Ontario,  Primary Agriculture,SUN GRO FARMS INC.,"LEAMINGTON, ON N8H 3X4",8432-Nursery and greenhouse workers,26
Ontario,  Primary Agriculture,Sun Parlor Honey Ltd,"Cottam, ON N0R 1B0",8431-General farm workers,3
Ontario,  Primary Agriculture,Sun-Ray Orchards Inc.,"Beamsville, ON L0R 1B1",8431-General farm workers,31
Ontario,  Primary Agriculture,Sunrise Farms Limited,"Kingsville, ON N9Y 2N6",8432-Nursery and greenhouse workers,22
Ontario,  Primary Agriculture,sunrise orchards inc.,"Arkona, ON N0M 1B0",8431-General farm workers,5
Ontario,  Primary Agriculture,Sunrise Potato Storage Ltd,"Alliston, ON L9R 1V3",8431-General farm workers,5
Ontario,  Primary Agriculture,Sunrite Greenhouses Ltd.,"Kingsville, ON N9Y 2M2",8432-Nursery and greenhouse workers,156
Ontario,  Primary Agriculture,Sunsation Acres INC,"Leamington, ON N8H 3W5",8432-Nursery and greenhouse workers,12
Ontario,  Primary Agriculture,Suntastic Hothouse Inc,"Exeter, ON, ON N0M 1S5",8432-Nursery and greenhouse workers,10
