"Employers Who Were Issued a Positive Labour Market Impact Assessment (LMIA) by Program Stream, National Occupational Classification (NOC) 2011 and Business Location, January to March 2021",b,c,d,e,f
Ontario,  Primary Agriculture,Kustermans Berry Farms inc,"Mount Brydges, ON N0L 1W0",8431-General farm workers,3
Ontario,  Primary Agriculture,LAAN DAIRY LTD.,"Woodstock, ON N4S 7V8","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Ontario,  Primary Agriculture,Lakeshore Veggie Growers Inc.,"Leamington, ON N8H 3Y3",8432-Nursery and greenhouse workers,20
Ontario,  Primary Agriculture,LCP Farms Inc,"Mount Brydges, ON N0L 1W0",8431-General farm workers,14
Ontario,  Primary Agriculture,LG Dunlop Farms Ltd,"Dresden, ON N0P 1M0",8431-General farm workers,12
Ontario,  Primary Agriculture,Lincoln Mushroom Farm (1975) Inc.,"Stoney Creek, ON L8J 3G5",8611-Harvesting labourers,7
Ontario,  Primary Agriculture,Lindley's Farm and Market Ltd,"Ancaster, ON L9G 3L1",8431-General farm workers,2
Ontario,  Primary Agriculture,Linwell Gardens Ltd.,"Beamsville, ON L0R 1B0",0822-Managers in horticulture,1
Ontario,  Primary Agriculture,LNV Agriculture Limited,"LaSalette, ON N0E 1H0",8431-General farm workers,24
Ontario,  Primary Agriculture,Looking Back Farms Inc.,"Tottenham, ON L0G 1W0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,LORNE PARK NURSERIES LTD.,"Colborne, ON K0K 1S0",8432-Nursery and greenhouse workers,2
Ontario,  Primary Agriculture,Lundy Potato Farms LTD.,"Alliston, ON L9R 1V8",8431-General farm workers,1
Ontario,  Primary Agriculture,M.P. Slegers Ltd,"Strathroy, ON N7G 3H5",8431-General farm workers,6
Ontario,  Primary Agriculture,MacSween Farms Ltd.,"NIAGARA ON THE LAKE, ON L0S 1J0",8431-General farm workers,32
Ontario,  Primary Agriculture,MAD Farms Inc,"Blenheim, ON N0P 1A0",8431-General farm workers,7
Ontario,  Primary Agriculture,Mahler Farms Corporation,"LaSalette, ON N0E 1H0",8431-General farm workers,5
Ontario,  Primary Agriculture,Majestic Agriculture Inc,"Campbellville, ON L0P 1B0",8432-Nursery and greenhouse workers,1
Ontario,  Primary Agriculture,MAN LEE FARM INC,"Beaverton, ON L0K 1A0",8431-General farm workers,10
Ontario,  Primary Agriculture,Manderley Turf Products Inc.,"Ottawa, ON K2E 7S6",8431-General farm workers,17
Ontario,  Primary Agriculture,Maple Dell Farms Limited,"Norwich, ON N0J 1P0",8431-General farm workers,8
Ontario,  Primary Agriculture,Maple Greenhouses Ltd.,"Lowbanks, ON N0A 1K0",8432-Nursery and greenhouse workers,1
Ontario,  Primary Agriculture,Maple Shadows Farms Ltd.,"Stratford, ON N5A 6S3","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,Mapleton Pork Limited,"Arthur, ON N0G 1A0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",4
Ontario,  Primary Agriculture,Mar-John's Nursery Ltd.,"Waterloo, ON N2J 4G8",8431-General farm workers,6
Ontario,  Primary Agriculture,Marques Gardens Ltd,"Bradford, ON L3Z 2B5",8431-General farm workers,4
Ontario,  Primary Agriculture,Marvellane Farms Ltd.,"Russell, ON K4R 0J7",8431-General farm workers,1
Ontario,  Primary Agriculture,Mastron Enterprises Ltd.,"Kingsville, ON N9Y 2E5",8432-Nursery and greenhouse workers,11
Ontario,  Primary Agriculture,Mastronardi Estate Vineyards Inc.,"Kingsville, ON N9Y 2E4",8431-General farm workers,2
Ontario,  Primary Agriculture,Maxwell Acres Ltd.,"Meaford, ON N4L 0A7",8431-General farm workers,34
Ontario,  Primary Agriculture,McCreary Farms Inc.,"Wallaceburg, ON N8A 4L1",8431-General farm workers,10
Ontario,  Primary Agriculture,McKillop Heights Ltd,"Seaforth, ON N0K 1W0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,Michael Klosler Farms Ltd.,"Windham Centre, ON N0E 2A0",8431-General farm workers,3
Ontario,  Primary Agriculture,Milagre Farms Limited,"Denfield, ON N0M 1P0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",4
Ontario,  Primary Agriculture,Monoway Farms Limited,"Brussels, ON N0G 1H0",8431-General farm workers,2
Ontario,  Primary Agriculture,Monsere Farms Ltd,"TILLSONBURG, ON N4G 4G7",8611-Harvesting labourers,10
Ontario,  Primary Agriculture,Mountainview Orchards Inc,"BEAMSVILLE, ON L0R 1B2",8431-General farm workers,5
Ontario,  Primary Agriculture,Mudge Family Farms Ltd.,"Otterville, ON N0J 1R0",8431-General farm workers,3
Ontario,  Primary Agriculture,N.R.D. FARMS LIMITED,"HILLSBURGH, ON N0B 1Z0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",3
Ontario,  Primary Agriculture,Natalex Tobacco Inc.,"Langton, ON N0E 1G0",8431-General farm workers,6
Ontario,  Primary Agriculture,Nature Fresh Farms Inc.,"Leamington, ON N8H 3V8",0822-Managers in horticulture,1
Ontario,  Primary Agriculture,Nature Fresh Farms Inc.,"Leamington, ON N8H 3V8",8432-Nursery and greenhouse workers,71
Ontario,  Primary Agriculture,NES FARMING INC.,"Norwich, ON N0J 1P0",8431-General farm workers,4
Ontario,  Primary Agriculture,New Obelink Farms Ltd.,"Arthur, ON N0G 1A0",8431-General farm workers,2
Ontario,  Primary Agriculture,Newbrabant Farms Ltd.,"Lancaster, ON K0C 1N0",8431-General farm workers,3
Ontario,  Primary Agriculture,NGFM Proulx Inc.,"Cumberland, ON K4C 1N2",8431-General farm workers,5
Ontario,  Primary Agriculture,Nickels Orchards Ltd.,"Ruthven, ON N0P 2G0",8431-General farm workers,8
Ontario,  Primary Agriculture,NIGHTINGALE FARMS LIMITED,"LaSalette, ON N0E 1H0",8431-General farm workers,28
Ontario,  Primary Agriculture,North Canal Produce Inc.,"Bradford, ON L3Z 2A4",8431-General farm workers,6
Ontario,  Primary Agriculture,NORTHLAND GARLIC INC,"MOUNT FOREST ON, ON N0G 2L0",8611-Harvesting labourers,7
Ontario,  Primary Agriculture,Northland Ginseng farms Inc.,"Windham Centre, ON N0E 2A0",8431-General farm workers,12
Ontario,  Primary Agriculture,NU FAIR-GREEN SOD FARMS LIMITED,"MARKHAM, ON L3P 3J3",8431-General farm workers,8
Ontario,  Primary Agriculture,Oaklane Orchards Ltd.,"Clarksburg, ON N0H 1J0",8431-General farm workers,17
Ontario,  Primary Agriculture,Obeid Farms 2014 Inc.,"Vanessa, ON N0E 1V0",8431-General farm workers,54
Ontario,  Primary Agriculture,Oldwood Farms Inc.,"Hammond, ON K0A 2A0",8431-General farm workers,1
Ontario,  Primary Agriculture,Ontario Plants Propagation Limited,"St. Thomas, ON N5P 3T2","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",17
Ontario,  Primary Agriculture,Ontario Plants Propagation Limited,"St. Thomas, ON N5P 3T2",8432-Nursery and greenhouse workers,50
Ontario,  Primary Agriculture,Orangeline Farms Limited,"Leamington, ON N8H 3V8",8432-Nursery and greenhouse workers,7
Ontario,  Primary Agriculture,Orchard Park Growers Ltd.,"St. Catharines, ON L2R 6P9",8432-Nursery and greenhouse workers,8
Ontario,  Primary Agriculture,ORLEANS FRUIT FARM LTEE,"Orleans, ON K1C 7K9",8431-General farm workers,12
Ontario,  Primary Agriculture,Overholt Orchards Inc,"St. Catharines, ON L2R 6P9",8431-General farm workers,22
Ontario,  Primary Agriculture,Oxford Cattle Company Ltd.,"Woodstock, ON N4S 7V8",8431-General farm workers,7
Ontario,  Primary Agriculture,Oxley Wridge Farms Ltd.,"Harrow, ON N0R 1G0",8431-General farm workers,4
Ontario,  Primary Agriculture,P&S VanBerlo Limited,"Simcoe, ON N3Y 4K3",8431-General farm workers,37
Ontario,  Primary Agriculture,Parker Bee Apiaries Ltd.,"BEAMSVILLE, ON L0R 1B2",8431-General farm workers,7
Ontario,  Primary Agriculture,Parkway Estate Vineyards Inc.,"Grimsby, ON L3M 4E7",8431-General farm workers,3
Ontario,  Primary Agriculture,Patron Farms Ltd.,"St. Pauls, ON N0K 1V0",8431-General farm workers,2
Ontario,  Primary Agriculture,Peeters Mushrooms Inc.,"Blenheim, ON N0P 1A0",8611-Harvesting labourers,33
Ontario,  Primary Agriculture,PeleeView Farms Inc,"Leamington, ON N8H 3V7",8432-Nursery and greenhouse workers,1
Ontario,  Primary Agriculture,Peter Welsh Farming Inc. / Wayne Welsh Farms Inc.,"Scotland, ON N0E 1R0",8431-General farm workers,6
Ontario,  Primary Agriculture,Pfenning's Organic Vegetables Inc.,"New Hamburg, ON N3A 1T1","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",5
Ontario,  Primary Agriculture,Pfenning's Organic Vegetables Inc.,"New Hamburg, ON N3A 1T1",8431-General farm workers,28
Ontario,  Primary Agriculture,Philip Verhoeve Farms LTD,"Delhi, ON N4B 2W4",8431-General farm workers,3
Ontario,  Primary Agriculture,Piccioni Bros. Mushroom Farm Ltd,"Dundas, ON L9H 5E2",8611-Harvesting labourers,40
Ontario,  Primary Agriculture,Pihokker Farms Inc.,"Vienna, ON N0J 1Z0",8431-General farm workers,18
Ontario,  Primary Agriculture,Pine Knoll Farms Limited,"Mount Brydges, ON N0L 1W0",8431-General farm workers,2
Ontario,  Primary Agriculture,Pingle's Farm Market Ltd,"Hampton, ON L0B 1J0",8431-General farm workers,5
Ontario,  Primary Agriculture,Pohoresky Farms Ltd,"Waterford, ON N0E 1Y0",8431-General farm workers,2
Ontario,  Primary Agriculture,Polsto Farm Ltd,"GUELPH, ON N1H 6J2","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,Porkway Farms Ltd,"Monkton, ON N0K 1P0",8431-General farm workers,6
Ontario,  Primary Agriculture,Prica Orchard Inc.,"Waterloo, ON N2L 6R7",8431-General farm workers,5
Ontario,  Primary Agriculture,Princeton Farms Inc.,"Princeton, ON N0J 1V0",8431-General farm workers,4
Ontario,  Primary Agriculture,Procyk Farms (1994) Ltd,"WILSONVILLE, ON N0E 1Z0",8431-General farm workers,116
Ontario,  Primary Agriculture,Protolight Farms Inc.,"Leamington, ON N8H 3V8",8431-General farm workers,6
Ontario,  Primary Agriculture,Protolight Farms Inc.,"Leamington, ON N8H 3V8",8432-Nursery and greenhouse workers,2
Ontario,  Primary Agriculture,Quality Farms Ltd.,"Vaughan, ON L4H 4Z6",8431-General farm workers,2
Ontario,  Primary Agriculture,Quarry Ridge Inc,"BEAMSVILLE, ON L0R 1B2",8431-General farm workers,2
Ontario,  Primary Agriculture,Queensville Sod Farms Limited,"Queensville, ON L0G 1R0",8431-General farm workers,4
Ontario,  Primary Agriculture,Queenswood Stables Inc,"NAVAN, ON K4B 1H8",8431-General farm workers,1
Ontario,  Primary Agriculture,R&A Kukielka Farms Ltd.,"Vanessa, ON N0E 1V0",8431-General farm workers,28
Ontario,  Primary Agriculture,R. N. Capital Management Ltd.,"caledon east, ON L7C 2R7","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,R. N. Capital Management Ltd.,"caledon east, ON L7C 2R7",8431-General farm workers,2
Ontario,  Primary Agriculture,Rambrich Farms Inc,"Bradford, ON L3Z 3Y4",8431-General farm workers,7
Ontario,  Primary Agriculture,RAYMOND ARTHUR HOLDINGS INC.,"Scotland, ON N0E 1R0",8431-General farm workers,2
Ontario,  Primary Agriculture,Red Devon Grassfed Organics Ltd,"BOTHWELL, ON N0P 1C0",8431-General farm workers,4
Ontario,  Primary Agriculture,Reynolds Harvesting Ltd.,"Picton, ON K0K 2T0",8431-General farm workers,2
Ontario,  Primary Agriculture,Rhineland Farms Ltd.,"Delhi, ON N4B 2W4",8431-General farm workers,5
Ontario,  Primary Agriculture,Ricciardelli Orchards Ltd,"NIAGARA ON THE LAKE, ON L0S 1J0",8431-General farm workers,38
Ontario,  Primary Agriculture,Richards Rolling Acres Limited,"Dresden, ON N0P 1M0",8431-General farm workers,3
Ontario,  Primary Agriculture,Richwin Farms Inc.,"Jordan Station, ON L0R 1S0",8431-General farm workers,2
Ontario,  Primary Agriculture,Rideau Pines Farm,"North Gower, ON K0A 2T0",8431-General farm workers,3
Ontario,  Primary Agriculture,Ro Maur Farms Inc,"Chatham, ON N7M 5J2",8431-General farm workers,6
Ontario,  Primary Agriculture,Robintide Farms Limited,"Maple, ON L6A 2A9",8431-General farm workers,5
Ontario,  Primary Agriculture,Robko Farms Ltd,"Simcoe, ON N3Y 4K6",8431-General farm workers,4
Ontario,  Primary Agriculture,Roelands Plant Farms Inc.,"Lambton Shores, ON N0N 1J5",8431-General farm workers,57
Ontario,  Primary Agriculture,Rondyke Farms Ltd.,"Blenheim, ON N0P 1A0",8431-General farm workers,4
Ontario,  Primary Agriculture,Rosa Flora Growers Ltd,"Dunnville, ON N1A 2W2",8432-Nursery and greenhouse workers,15
Ontario,  Primary Agriculture,Rouge River Farms Inc.,"Gormley, ON L0H 1G0",8431-General farm workers,13
Ontario,  Primary Agriculture,Royal Game Birds Inc.,"Drumbo, ON N0J 1G0",8431-General farm workers,2
Ontario,  Primary Agriculture,Royalview Orchards Limited,"Niagara-On-The-Lake, ON L0S 1J0",8431-General farm workers,13
Ontario,  Primary Agriculture,RVD Farms Limited,"Inwood, ON N0N 1K0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
Ontario,  Primary Agriculture,Ryder Farms Inc.,"Delhi, ON N4B 2W4",8431-General farm workers,6
Ontario,  Primary Agriculture,Sandy Shore Farms Limited,"Port Burwell, ON N0J 1T0",8431-General farm workers,50
Ontario,  Primary Agriculture,Schenck Farms & Greenhouses Co Ltd,"St. Catharines, ON L2R 6P9",8432-Nursery and greenhouse workers,10
Ontario,  Primary Agriculture,Scholten Farms Inc,"Simcoe, ON N3Y 4K3",8431-General farm workers,2
Ontario,  Primary Agriculture,Schouten Corner View Farms Ltd.,"Richmond, ON K0A 2Z0",8431-General farm workers,1
Ontario,  Primary Agriculture,Scotlynn Sweetpac Growers Inc.,"Vittoria, ON N0E 1W0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",4
Ontario,  Primary Agriculture,Scotlynn Sweetpac Growers Inc.,"Vittoria, ON N0E 1W0",8431-General farm workers,405
Ontario,  Primary Agriculture,Shabatura Farms Ltd.,"Windham Centre, ON N0E 2A0",8431-General farm workers,45
Ontario,  Primary Agriculture,Shouldice Farms Inc.,"Richmond, ON K0A 2Z0",8431-General farm workers,26
Ontario,  Primary Agriculture,SIMCOE AGRO ORCHARD INC.,"Simcoe, ON N3Y 4K1",8431-General farm workers,10
Ontario,  Primary Agriculture,Simcoe Botanicals Inc,"Simcoe, ON N3Y 4K1",8431-General farm workers,5
Ontario,  Primary Agriculture,Sitko Farms Inc.,"WILSONVILLE, ON N0E 1Z0",8431-General farm workers,23
Ontario,  Primary Agriculture,SL FARMS LIMITED,"Princeton, ON N0J 1V0",8431-General farm workers,5
Ontario,  Primary Agriculture,Sluys Holsteins Inc.,"Clinton, ON N0M 1L0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,Smith Gardens Inc.,"Queensville, ON L0G 1R0",8431-General farm workers,4
Ontario,  Primary Agriculture,Smyth's Apple Orchard Ltd,"Iroquois, ON K0E 1K0",8431-General farm workers,17
Ontario,  Primary Agriculture,Somerville Nurseries Inc.,"Everett, ON L0M 1J0",8432-Nursery and greenhouse workers,70
Ontario,  Primary Agriculture,Sonibrand Farm Inc.,"St.Isidore, ON K0C 2B0",8431-General farm workers,1
Ontario,  Primary Agriculture,Sooch Farm Inc.,"Stayner, ON L0M 1S0",8431-General farm workers,5
Ontario,  Primary Agriculture,SOUTHSHORE GREENHOUSES INC.,"KINGSVILLE, ON N9Y 2M6",8431-General farm workers,7
Ontario,  Primary Agriculture,Springflower Ltd.,"Otterville, ON N0J 1R0",8432-Nursery and greenhouse workers,2
Ontario,  Primary Agriculture,Sprucewood Shores Inc.,"Harrow, ON N0R 1G0",8431-General farm workers,2
Ontario,  Primary Agriculture,Srebot Farms Inc.,"Gilford, ON L0L 1R0",8431-General farm workers,5
Ontario,  Primary Agriculture,St. Brigid's Dairy Ltd.,"Brussels, ON N0G 1H0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",3
Ontario,  Primary Agriculture,St. David's Hydroponics Ltd,"Niagara-On-The-Lake, ON L0S 1J0",8432-Nursery and greenhouse workers,9
Ontario,  Primary Agriculture,Stanners Vineyard Inc.,"HILLIER, ON K0K 2J0",8431-General farm workers,2
Ontario,  Primary Agriculture,Stanton Bros Ltd,"Ilderton, ON N0M 2A0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Ontario,  Primary Agriculture,Stefina Farms Inc.,"Blenheim, ON N0P 1A0",8431-General farm workers,9
Ontario,  Primary Agriculture,Steven Ivan Farms Inc.,"Union, ON N0L 2L0",8431-General farm workers,4
Ontario,  Primary Agriculture,STONEHENGE ACRES LIMITED,"Scotland, ON N0E 1R0",8431-General farm workers,25
Ontario,  Primary Agriculture,Sugarbush Vineyards Ltd.,"HILLIER, ON K0K 2J0",8431-General farm workers,3
Ontario,  Primary Agriculture,Sunrise Greenhouses LTD,"Vineland, ON L0R 2E0",8432-Nursery and greenhouse workers,7
Ontario,  Primary Agriculture,Sunsation Acres INC,"Leamington, ON N8H 3W5",8432-Nursery and greenhouse workers,5
Ontario,  Primary Agriculture,Sunvalley Hydroponics Ltd.,"Ruthven, ON N0P 2G0",8432-Nursery and greenhouse workers,1
Ontario,  Primary Agriculture,SVIRIDA FARMS INC.,"Vienna, ON N0J 1Z0",8431-General farm workers,5
Ontario,  Primary Agriculture,T & J Haskett Farms Ltd.,"Vittoria, ON N0E 1W0",8431-General farm workers,22
Ontario,  Primary Agriculture,Tazu Farms Inc,"Waterford, ON N0E 1Y0",8431-General farm workers,7
Ontario,  Primary Agriculture,Terpstra Farms Ltd,"Brussels, ON N0G 1H0",8431-General farm workers,4
Ontario,  Primary Agriculture,The Arbory Ltd,"Jordan St, ON L0R 1S0",8432-Nursery and greenhouse workers,8
Ontario,  Primary Agriculture,The Hop Farm Inc.,"Gormley, ON L0H 1G0",8431-General farm workers,4
Ontario,  Primary Agriculture,The Hop Farm Inc.,"Gormley, ON L0H 1G0",8432-Nursery and greenhouse workers,1
Ontario,  Primary Agriculture,THOMPSON'S ORCHARDS LTD,"Blenheim, ON N0P 1A0",8431-General farm workers,11
Ontario,  Primary Agriculture,Thomsen-Jung Farms Ltd.,"Caledonia, ON N3W 1N2",8431-General farm workers,1
Ontario,  Primary Agriculture,Tigchelaar Berry Farms Inc.,"Vineland Station, ON L0R 2E0",8431-General farm workers,83
Ontario,  Primary Agriculture,Tincap Berry Farm Inc.,"Brockville, ON K6V 5T4",8431-General farm workers,4
Ontario,  Primary Agriculture,TnT Commodities Ltd,"Vittoria, ON N0E 1W0",8431-General farm workers,3
Ontario,  Primary Agriculture,Townsend Fruit Farms Inc,"Simcoe, ON N3Y 4K3",8431-General farm workers,34
Ontario,  Primary Agriculture,Tregunno Fruit Farms Inc,"Niagara-On-The-Lake, ON L0S 1J0",8431-General farm workers,22
Ontario,  Primary Agriculture,TRI MN LTD,"Delhi, ON N4B 2W5",8431-General farm workers,9
Ontario,  Primary Agriculture,Triple MC Farms LTD,"Simcoe, ON N3Y 4J9",8431-General farm workers,8
Ontario,  Primary Agriculture,TRIUMPH PRODUCE LTD.,"Cobourg, ON K9A 4J7",8431-General farm workers,8
Ontario,  Primary Agriculture,Tuckersmith Pork Ltd.,"Seaforth, ON N0K 1W0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",4
Ontario,  Primary Agriculture,Tupling Farms Ltd,"Melancthon, ON L9V 1X1",8431-General farm workers,4
Ontario,  Primary Agriculture,Turtle Island Produce Limited,"Walsingham, ON N0E 1X0",8431-General farm workers,32
Ontario,  Primary Agriculture,Twin Creeks Greenhouse Inc.,"Watford, ON N0M 2S0",8432-Nursery and greenhouse workers,23
Ontario,  Primary Agriculture,Twin Peaks Hydroponics Inc.,"Kingsville, ON N9Y 2E5",8432-Nursery and greenhouse workers,14
Ontario,  Primary Agriculture,Tyler Demeulenaere Farms Ltd.,"Princeton, ON N0J 1V0",8431-General farm workers,3
Ontario,  Primary Agriculture,Upper Canada Growers Ltd.,"NIAGARA ON THE LAKE, ON L0S 1J0",8431-General farm workers,15
